id,T,recency,frequency,avg_monetary
14a188558af6cd5bc222ca773d395a7f,221,40,1,101.45
216ab90e27f18940cfac8f9f02fb4239,193,149,1,129.9
26e025af2347c3968f6a578f853a9da2,336,223,1,149.5
4011b7579e894fa929d2de97b4928f41,182,2,1,389.0
453c2895f29b6d9a47f8cb48e00b024b,351,213,1,68.125
4702ba5faa8283e0f6b6a545cdaf8a9f,477,449,1,109.5
4b384b778ebc0449d0244902bfce7beb,439,150,1,68.65
5b71ca52f13f79c2be72b2aad8755c0a,402,6,1,90.99
7462a753a77ed093330660f7003064c7,24,2,1,57.9
7e4bebe20140a71b34263a659ba1ce11,286,230,1,27.195
7e7301841ddb4064c2f3a31e4c154932,566,514,1,123.9
98a8081d6f922b47f0b48d0b10665047,234,208,1,137.5
a35e6ad969a4298593c504f69c03efb4,92,58,1,29.235
bce006e903be688f122a39f45b210090,208,92,1,122.4
c85df1c6ef6f7bb605e1c49d34f172ee,303,34,1,89.4
cbe71e4cb0b82b97bbec5cd51e0fa3ea,227,43,1,102.85000000000001
f00e99f043c33da533ebc107f5a68c4e,265,172,1,139.945
f31d2c22ddcad145e224e6dc48f349b9,144,33,1,64.92
24d9e83fe11e4390b69e1afb2b93f5ee,330,88,1,158.885
31aa2034dc4b34b06487e22a53b4a07a,355,15,1,154.0
58e2253f083d42930c64ca32b510a512,251,220,1,57.245
7ed57df0e6ae22a4f9e0250d52608ad5,411,20,1,162.55
9066d003674f53303ec2ac527e940a5d,573,146,1,14.995
984503860d8d8dea530666eec07de95c,328,33,1,46.75
a80a048ab08d27168131328d4e2fde1c,75,4,1,60.495
bbf65e7823171a84e70a495dd6c34ceb,381,299,1,250.315
bcf0a5f0f3ec8639f940749aab360d8f,427,92,1,201.44
d970a2354b55cfb67fa5840b9b4936ed,183,146,1,107.5
e7ea4c3049b0ffcb326d8fcf44a06c05,165,78,1,92.49
fc24db02becd484accefaa5af59c18b1,92,21,1,749.99
004288347e5e88a27ded2bb23747066c,404,171,1,158.945
208fe9aa6033a77419f8f503b7698e03,41,12,1,132.70499999999998
20ae758fb6688386d9d1540f63d380e0,427,345,1,113.995
869be6f00b4c49e72f9a1e2033baa9f0,533,65,1,64.45
a3c22bbd3ae5d6200ac82078b67eec2a,271,5,1,119.5
c28b1528e093df4b2a5d47f6f2b0d5fb,36,20,1,80.945
c45ece361aab055ea6c55b61eb2d99c0,465,128,1,209.14999999999998
ef89c781d27561d99c4b90783fde3c57,262,6,1,82.9
2a17d0a71f5910d7207819f9ca9ec12b,252,221,1,59.150000000000006
41b3ab6b1f95cbd2afb361e852a56917,363,7,1,50.0
547d0504ca415eb4864fa3030f73d3f3,293,67,1,22.945
6832bd3ca1bf89c9e60bf3c91d846ec9,291,67,1,89.4
72eb961337993c4c089cb9135b86de90,223,120,1,37.495000000000005
7b53ce3d0ba1f84b0ebcef52fffb110d,316,49,1,98.0
8f567321ba12101dedc07c70b7021069,417,403,1,113.435
92046e40af14f7f88398c748bb559cfe,200,79,1,62.45
a74cca5b53aa3fb9a6841f847033dcc1,201,131,1,65.4
b68a98377d20140feaa17eeb61687459,548,116,1,19.945
d6db3091e8c13023bf1e6d367b8c0847,456,409,1,47.25
e8a63b5829f45bc153ed838ba9de6c0b,357,245,1,43.745000000000005
f95407bbebadeb8eb236153ba339e998,199,113,1,81.95
fe59d5878cd80080edbd29b5a0a4e1cf,454,76,2,42.593333333333334
078f7e669cebf2fb640d0ad0dabb3068,195,77,1,21.45
0c4c416f1f9844e6805b074f8f96f52c,402,14,1,71.99
11e95918d6816403858e8314a3503f4c,229,168,1,119.94500000000001
1b765716e166ca699d20c4adc8bb0f7c,529,9,1,87.495
301a6d74a3eb7cd8e3508a045b8fa2e1,387,10,1,277.0
33416ee3d4fa56400ec814d7b24bde02,224,106,1,101.995
60f874c577dc096ecd52bd0bf6bd5942,191,51,1,53.989999999999995
6321cbc5ca73fae88f1acccaa086ecdf,259,77,1,151.525
657dec397f46d84dbe64df2b0389b3cc,307,49,1,80.775
6eb453dca2505def092eb261e3a3d8d0,438,279,1,57.9
6f302f15a62c56b3100b67a81bfef328,413,153,1,314.59999999999997
f497801658db70e1b18c76268001e944,378,118,1,62.94500000000001
243b99bd9ed8a3f460e7289d0a8df291,259,180,1,114.77000000000001
339c527109c4c03e8e09bd4b593dab5f,526,184,1,179.97
523b7915f240831d06b34ab9b804a200,375,266,1,92.495
6e620488162fe1129d32f26b751d770a,341,147,1,74.85
8170c6e6d010d22195bcd959f5de1ea5,153,5,1,66.76
9448bf54ca4a047cb99b0dee1a9bfa25,224,12,1,42.995
c37cc6c1a59d81460a3059744f7ada1c,429,354,3,143.6175
eabaccde0fe3120d2cbbcfc93e2b4177,295,172,1,34.27
